"094年01月25日每日收盤行情(化學生技醫療)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"1701","中化","1,147,407","276","15,556,691","13.55","13.70","13.45","13.60","+","0.05","13.60","13","13.65","54","4.35",
"1704","榮化","1,852,209","246","28,011,095","15.20","15.30","15.00","15.30","+","0.10","15.20","45","15.30","88","11.50",
"1707","葡萄王","206,001","37","1,755,308","8.55","8.60","8.40","8.60","-","0.05","8.50","68","8.60","1","37.39",
"1708","東鹼","481,683","57","3,786,975","7.90","7.90","7.80","7.80","-","0.10","7.80","51","7.85","1","17.73",
"1709","和益","118,825","32","1,306,243","11.00","11.05","10.85","10.95","-","0.15","10.90","6","10.95","8","21.90",
"1710","東聯","11,801,644","5,735","384,373,039","33.20","33.60","31.40","32.30","-","0.90","32.10","4","32.30","9","9.05",
"1711","永光","450,900","131","5,307,351","11.80","11.90","11.70","11.75","-","0.05","11.75","26","11.80","15","11.52",
"1712","興農","2,086,348","246","16,400,133","7.80","7.95","7.75","7.85","-","0.05","7.85","13","7.90","222","8.63",
"1713","國化","977,001","203","10,587,460","11.10","11.10","10.60","10.85","-","0.15","10.85","59","10.90","21","12.33",
"1714","和桐","833,902","175","7,220,210","8.55","8.80","8.55","8.70","+","0.10","8.70","187","8.75","17","8.45",
"1716","永信","848,099","304","27,702,724","32.90","33.10","32.30","32.70","-","0.20","32.70","45","32.90","72","14.16",
"1717","長興","447,331","161","9,477,647","21.10","21.40","21.00","21.10"," ","0.00","21.10","25","21.20","49","9.95",
"1718","中纖","10,242,706","1,565","156,785,004","15.80","16.00","14.85","15.40","-","0.50","15.30","344","15.40","89","7.03",
"1720","生達","351,669","115","6,382,374","18.30","18.40","18.00","18.10","-","0.20","18.10","30","18.20","4","9.58",
"1721","三晃","124,000","42","840,700","6.90","6.90","6.65","6.85","+","0.05","6.80","15","6.85","4","",
"1722","台肥","19,951,493","3,240","696,697,693","34.80","35.20","34.60","35.00","+","0.30","34.90","288","35.00","213","22.44",
"1723","中碳","410,022","194","20,587,342","50.50","50.50","50.00","50.50"," ","0.00","50.00","235","50.50","153","9.64",
"1724","台硝","322,002","38","2,414,564","7.55","7.55","7.45","7.50"," ","0.00","7.45","28","7.55","48","27.78",
"1725","元禎","15,000","8","268,000","17.80","18.00","17.80","18.00","+","0.10","17.80","2","18.00","2","7.76",
"1726","永記","76,000","45","3,335,800","44.00","44.30","43.50","43.80","-","0.20","43.80","5","44.00","15","10.35",
"1727","中華化","3,025","4","33,981","10.90","11.40","10.90","11.40","+","0.10","11.20","2","11.40","10","11.88",
"1729","必翔","243,101","147","16,834,676","68.50","70.50","68.50","70.50","+","2.00","70.00","18","70.50","6","20.49",
"1730","花仙子","71,000","13","642,100","9.20","9.20","9.00","9.05","-","0.15","9.05","1","9.15","8","14.60",
"1731","美吾華","313,000","98","3,452,800","11.05","11.25","10.95","11.00","-","0.25","11.00","17","11.10","3","34.38",
"1732","毛寶","210,001","81","1,883,808","8.85","9.10","8.80","8.90","+","0.05","8.85","26","8.90","51","",
"1733","五鼎","135,998","63","3,083,734","22.70","22.90","22.50","22.50","-","0.20","22.50","59","22.70","9","7.14",
"1734","杏輝","617,001","122","11,434,814","18.50","18.90","18.40","18.40","-","0.10","18.40","103","18.50","3","14.15",
"1735","日勝化","34,050","21","617,395","18.00","18.30","18.00","18.30","+","0.30","18.10","2","18.20","1","8.84",
"1736","喬山","61,000","38","3,842,000","62.00","64.00","61.50","64.00","+","1.50","63.50","2","64.00","6","10.11",
"4106","雃博","22,009","18","342,638","15.50","15.70","15.30","15.70","+","0.20","15.30","9","15.70","10","9.75",
"4119","旭富","5,008","6","106,769","21.30","21.70","21.00","21.70","+","0.40","21.00","1","21.70","2","11.67",
"備註:"
"漲跌(+/-)欄位符號說明:+/-/X表示漲/跌/不比價。",
"當證券代號為認購(售)權證及認股權憑證時本益比欄位置為結算價；但如為以外國證券或指數為標的之認購(售)權證及履約方式採歐式者，該欄位為空白。",
"除境外指數股票型基金及外國股票第二上市外，餘交易單位皆為千股。",
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。",

